file_name,n_tokens
ann/src/main/java/com/twitter/ann/faiss/swig/InvertedLists.java,2775
ann/src/main/java/com/twitter/ann/faiss/swig/InvertedListsPtrVector.java,698
ann/src/main/java/com/twitter/ann/faiss/swig/Level1Quantizer.java,1147
ann/src/main/java/com/twitter/ann/faiss/swig/LinearTransform.java,1167
ann/src/main/java/com/twitter/ann/faiss/swig/LongVector.java,603
ann/src/main/java/com/twitter/ann/faiss/swig/LongVectorVector.java,672
ann/src/main/java/com/twitter/ann/faiss/swig/MapLong2Long.java,617
ann/src/main/java/com/twitter/ann/faiss/swig/MaskedInvertedLists.java,1061
ann/src/main/java/com/twitter/ann/faiss/swig/MetricType.java,736
ann/src/main/java/com/twitter/ann/faiss/swig/MultiIndexQuantizer.java,773
ann/src/main/java/com/twitter/ann/faiss/swig/MultiIndexQuantizer2.java,847
ann/src/main/java/com/twitter/ann/faiss/swig/NormalizationTransform.java,614
ann/src/main/java/com/twitter/ann/faiss/swig/OPQMatrix.java,1054
ann/src/main/java/com/twitter/ann/faiss/swig/OnDiskInvertedLists.java,2930
ann/src/main/java/com/twitter/ann/faiss/swig/OnDiskInvertedListsIOHook.java,620
ann/src/main/java/com/twitter/ann/faiss/swig/OnDiskOneList.java,530
ann/src/main/java/com/twitter/ann/faiss/swig/OneRecallAtRCriterion.java,499
ann/src/main/java/com/twitter/ann/faiss/swig/OperatingPoint.java,587
ann/src/main/java/com/twitter/ann/faiss/swig/OperatingPointVector.java,640
ann/src/main/java/com/twitter/ann/faiss/swig/OperatingPoints.java,974
ann/src/main/java/com/twitter/ann/faiss/swig/PCAMatrix.java,1324
ann/src/main/java/com/twitter/ann/faiss/swig/PQDecoder16.java,520
ann/src/main/java/com/twitter/ann/faiss/swig/PQDecoder8.java,516
ann/src/main/java/com/twitter/ann/faiss/swig/PQDecoderGeneric.java,699
ann/src/main/java/com/twitter/ann/faiss/swig/PQEncoder16.java,500
ann/src/main/java/com/twitter/ann/faiss/swig/PQEncoder8.java,496
ann/src/main/java/com/twitter/ann/faiss/swig/PQEncoderGeneric.java,737
ann/src/main/java/com/twitter/ann/faiss/swig/ParameterRange.java,472
ann/src/main/java/com/twitter/ann/faiss/swig/ParameterSpace.java,1376
ann/src/main/java/com/twitter/ann/faiss/swig/PartitionStats.java,497
ann/src/main/java/com/twitter/ann/faiss/swig/PermutationObjective.java,475
ann/src/main/java/com/twitter/ann/faiss/swig/PolysemousTraining.java,1545
ann/src/main/java/com/twitter/ann/faiss/swig/ProductQuantizer.java,3715
ann/src/main/java/com/twitter/ann/faiss/swig/ProgressiveDimClustering.java,894
ann/src/main/java/com/twitter/ann/faiss/swig/ProgressiveDimClusteringParameters.java,512
ann/src/main/java/com/twitter/ann/faiss/swig/ProgressiveDimIndexFactory.java,328
ann/src/main/java/com/twitter/ann/faiss/swig/RandomRotationMatrix.java,461
ann/src/main/java/com/twitter/ann/faiss/swig/RangeQueryResult.java,608
ann/src/main/java/com/twitter/ann/faiss/swig/RangeSearchPartialResult.java,878
ann/src/main/java/com/twitter/ann/faiss/swig/RangeSearchResult.java,782
ann/src/main/java/com/twitter/ann/faiss/swig/ReadOnlyInvertedLists.java,518
ann/src/main/java/com/twitter/ann/faiss/swig/ReconstructFromNeighbors.java,1679
ann/src/main/java/com/twitter/ann/faiss/swig/RemapDimensionsTransform.java,740
ann/src/main/java/com/twitter/ann/faiss/swig/ReproduceDistancesObjective.java,1183
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_AlignedTableT_float_32_t.java,228
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_AlignedTableT_float_t.java,220
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_DirectMap.java,208
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_DirectMap__Type.java,216
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_FILE.java,200
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_IOReader.java,204
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_IOWriter.java,208
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_ScalarQuantizer.java,212
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_ScalarQuantizer__QuantizerType.java,228
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_double.java,200
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__AlignedTableTightAllocT_float_32_t.java,248
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__AlignedTableTightAllocT_uint16_t_32_t.java,256
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__AlignedTableTightAllocT_unsigned_char_32_t.java,252
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__BinaryInvertedListScanner.java,228
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__HeapArrayT_faiss__CMaxT_float_int64_t_t_t.java,268
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__HeapArrayT_faiss__CMaxT_int_int64_t_t_t.java,268
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__HeapArrayT_faiss__CMinT_float_int64_t_t_t.java,268
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__IOReader.java,216
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__IOWriter.java,220
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__InvertedListScanner.java,224
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__LockLevels.java,216
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__OnDiskInvertedLists__OngoingPrefetch.java,248
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_faiss__RandomGenerator.java,216
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_float.java,200
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_int.java,200
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_long.java,200
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_long_long.java,204
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_omp_lock_t.java,212
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_p_faiss__Index.java,216
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_p_faiss__InvertedLists.java,224
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_p_faiss__VectorTransform.java,220
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__listT_faiss__OnDiskInvertedLists__Slot_t.java,256
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__pairT_float_int_t.java,224
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__priority_queueT_faiss__HNSW__NodeDistFarther_t.java,264
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__priority_queueT_std__pairT_float_int_t_t.java,248
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__unordered_mapT_long_long_t.java,228
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__unordered_multimapT_int64_t_int64_t_t.java,248
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__BufferList__Buffer_t.java,244
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__ClusteringIterationStats_t.java,244
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__HNSW__NodeDistFarther_t.java,260
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__Index_p_t.java,236
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__InvertedLists_const_p_t.java,248
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__OnDiskOneList_t.java,244
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__ParameterRange_t.java,236
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__RangeQueryResult_t.java,240
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_faiss__RangeSearchPartialResult_p_t.java,248
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_int64_t_t.java,228
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_long_t.java,220
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_omp_lock_t_t.java,232
